table_schema,table_name,column_name,description
dev_hotel_sales,nihrm__BookingRoomNight__c,IsDeleted,
dev_hotel_sales,nihrm__BookingInquiry__c,IsDeleted,
dev_hotel_sales,nihrm__EventFunctionroomDate__c,IsDeleted,
dev_hotel_sales,nihrm__BookingPackage__c,IsDeleted,
dev_hotel_sales,nihrm__SetupValue__c,IsDeleted,
dev_hotel_sales,nihrm__EIRevBreakdownAlternatePrice__c,IsDeleted,
dev_hotel_sales,nihrm__BookingRoomBlock__c,IsDeleted,
dev_hotel_sales,nihrm__EventClassificationItem__c,IsDeleted,
dev_hotel_sales,nihrm__SiteFunctionRoomSetup__c,IsDeleted,
dev_hotel_sales,nihrm__PmsRoomBlock__c,IsDeleted,
dev_hotel_sales,nihrm__Booking__c,Itinerary__c,
dev_hotel_sales,nihrm__ChannelPackage__c,LastActivityDate,
dev_hotel_sales,nihrm__VolumeContract__c,LastActivityDate,
dev_hotel_sales,nihrm__Channel__c,LastActivityDate,
dev_hotel_sales,nihrm__Booking__c,LastActivityDate,
dev_hotel_sales,nihrm__Reservation__c,LastActivityDate,
dev_hotel_sales,nihrm__Transaction__c,LastActivityDate,
dev_hotel_sales,nihrm__ChannelLocation__c,LastActivityDate,
dev_hotel_sales,nihrm__Site__c,LastActivityDate,
dev_hotel_sales,nihrm__Inquiry__c,LastActivityDate,
dev_hotel_sales,nihrm__SiteFunctionRoomSetup__c,LastActivityDate,
dev_hotel_sales,nihrm__PmsRoomBlock__c,LastActivityDate,
dev_hotel_sales,nihrm__VolumeContractGuestroomType__c,LastModifiedById,
dev_hotel_sales,nihrm__ChannelPackage__c,LastModifiedById,
dev_hotel_sales,nihrm__BookingTax__c,LastModifiedById,
dev_hotel_sales,nihrm__PackageItem__c,LastModifiedById,
dev_hotel_sales,nihrm__FunctionRoomAlternatePrice__c,LastModifiedById,
dev_hotel_sales,nihrm__BookingOtherIncome__c,LastModifiedById,
dev_hotel_sales,nihrm__ChannelLocationItem__c,LastModifiedById,
dev_hotel_sales,nihrm__RevenueClassification__c,LastModifiedById,
dev_hotel_sales,nihrm__Package__c,LastModifiedById,
dev_hotel_sales,nihrm__VolumeContractPeriod__c,LastModifiedById,
dev_hotel_sales,nihrm__GuestroomType__c,LastModifiedById,
dev_hotel_sales,nihrm__FunctionRoomGroup__c,LastModifiedById,
